spider_oid,spider_fststake,spider_lststake,spider_direction,spider_dist,spider_postdate,spider_ref,START_TIME,END_TIME,spider_status,fake_dist,fake_direction,event_type,reason,event_source,start_time,end_time,loc_name,cycle,begin_end,ref_point,ref_point_type,description,is_sure,speed,available,occupy,weather,city,link_info,eventid,deleted?
111211,K269,K265,建宁收费站-寨下收费站,4000.0,2015-10-30 09:42:09,14,2016-04-12 15:35:05,,,,,,2,福建高速公路,1460446505000,0,S0311|浦建高速,,,"116.924 ,26.8699",4,S0311线浦建高速泰宁段建宁往泰宁方向K269-K265处（旗山隧道内，距寨下收费站约8公里）正在养护施工，占用超车道，该路段目前单车道通行，请途径车辆谨慎驾驶，提前减速。,0,,,,,,,,
111212,K265+400,K269+950,寨下收费站-建宁收费站,4550.0,2015-10-30 09:40:55,14,2016-07-19 09:28:47,,,,,,2,福建高速公路,1468891727000,0,S0311|浦建高速,,,"116.965 ,26.8887",4,S0311线浦建高速建宁段泰宁往建宁方向K265+400-K269+950（旗山隧道内，距建宁收费站约12公里）正在养护施工，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
116017,k6.65,k21.53,旗山收费站-永泰葛岭收费站,-1.0,2015-12-23 11:08:14,14,2015-12-23 11:04:01,,,,,,2,福建高速公路,1450839841000,0,S35|S35线沈海复线,,,"119.083 ,25.8975",4,S35线沈海复线福永段A道葛岭互通匝道正在养护施工，现实行临时交通管制：福州往葛岭收费站车辆请从旗山收费站、永泰东收费站下高速绕行；葛岭收费站入口往永泰、仙游方向车辆禁止通行,0,,,,,,,,
121983,K32+800,K32+800,福安收费站-赛岐收费站,0.0,2016-03-25 08:17:59,14,2016-03-25 08:14:25,,,,,,2,福建高速公路,1458864865000,0,G1514|宁上高速,,,"119.67 ,27.0597",4,G1514线宁上高速宁德段周宁往湾坞方向K32+800处（江家渡隧道，距福安收费站约2公里）正在养护施工，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
122144,K2012,K1999,水古收费站-罗源收费站,13000.0,2016-03-27 08:13:02,14,2016-03-27 08:09:43,,,,,,2,福建高速公路,1459037383000,0,G15|沈海高速,,,"119.504 ,26.473",4,G15线沈海高速罗宁路段泉州往宁德方向K2012—K1999（距水古收费站约100米），正在养护施工，在超车道与主车道轮流布控，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
123021,K312,K312,宁化收费站-石壁收费站,0.0,2016-04-06 17:51:18,14,2016-04-06 17:46:23,,,,,,2,福建高速公路,1459935983000,0,G72|泉南高速,,,"116.527 ,26.2619",4,G72线泉南高速宁化段K312处（石壁收费站下匝道）正在养护施工，现实行临时交通管制：泉州往江西方向石壁收费站禁止下高速，预计管制持续至2016年7月22日，请途经车辆注意绕行。,0,,,,,,,,
123260,K184+750,K184+000,邵武水北收费站-光泽收费站,750.0,2016-04-09 14:19:57,14,2016-08-15 16:50:25,,,,,,2,福建高速公路,1471251025000,0,S10|宁光高速,,,"117.43 ,27.4232",4,S10线宁光高速邵武段光泽往邵武方向K184+750-K184+000处（过云灵山服务区约1公里）正在养护施工，占用双车道，该路段目前邵武往光泽方向并道双向通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
124626,K15,13,明溪收费站-畔溪枢纽,2000.0,2016-04-23 22:31:14,14,2016-04-23 22:27:17,,,,,,2,福建高速公路,1461421637000,0,G1517|莆炎高速,,,"-1 ,-1",4,G1517线莆炎高速三明南段明溪往三明方向K15-13处（过明溪收费站约14公里）正在养护施工，占用双车道，该路段目前三明往明溪方向并道双向通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
125162,K2338,K2344,漳州枢纽-龙海收费站,6000.0,2016-04-29 14:24:16,14,2016-07-28 11:41:52,,,,,,2,福建高速公路,1469677312000,0,G15|沈海高速,,,"117.791 ,24.4938",4,"G15线沈海高速厦漳漳州段漳州往广东方向及广东往漳州方向K2338至K2344处（翠林大桥,漳州互通至龙海互通）正在养护施工，占用超车道及紧急停车带施工，目前该路段A、B道均为单车道通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。",0,,,,,,,,
125624,K156,K156,龙岩西收费站-龙岩古田收费站,0.0,2016-05-05 09:00:56,14,2016-05-05 09:18:10,,,,,,2,福建高速公路,1462411090000,0,G76|厦蓉高速,,,"116.923 ,25.121",4,G76线厦蓉高速龙岩往长汀方向K156（京源口隧道，过龙岩西收费站3公里）正在养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
